SKU,PartNo,Description,Dept,Category,Manufacturer,Onhand New,OnHand Used, Allocated,store_price,cost,total Value New,Total Value Used,desc1,desc2,desc3,desc4,desc5,desc1a,desc2a,desc3a,desc4a,desc5a
090255902501,H90250,HRNDY 9MM 115GR CRT DFNSE 25/250,MERCHANDISE,AMMUNITION,HORNADY,1,0,0,35.99,20.71,20.71,0,CRT,,,,,Desc 1,Desc 2,Desc 3,,
754908500086,754908500086,SELLIER & BELLOT 9MM 115GR FMJ,MERCHANDISE,AMMUNITION,SELLIER & BELLOT,1,0,2,19.99,11.62,11.62,0,,,,,,Desc 1,Desc 2,Desc 3,,
076683035097,CCI3509,CCI/BLAZER 9MM 115GR FMJ 50/1000,MERCHANDISE,AMMUNITION,CCI/SPEER,10,0,0,16.99,10.34,103.4,0,Blazer,,,,,Desc 1,Desc 2,Desc 3,,
029465085964,0658-4584,Federal P375F Cape-Shok CF Rifle,MERCHANDISE,AMMUNITION,FEDERAL,1,0,0,79.99,54,54,0,,375 H&,,,,Desc 1,Desc 2,Desc 3,,
854257000456,854257000456,EXTREME SHOCK 44MAG,MERCHANDISE,AMMUNITION,,3,0,0,22.58,16,48,0,,,,,,Desc 1,Desc 2,Desc 3,,
020892201606,0512-0844,Winchester 38SBLP Super-X Pistol,MERCHANDISE,AMMUNITION,WINCHESTER,1,0,0,42.99,34.13,34.13,0,,38 SP,,,,Desc 1,Desc 2,Desc 3,,
020892212596,0512-1278,Winchester MC762TOK Pistol,MERCHANDISE,AMMUNITION,WINCHESTER,2,0,0,29.99,23,46,0,,7.62X25 TO,,,,Desc 1,Desc 2,Desc 3,,
076683037909,1508-0158,CCI 3790 9MM Luger Shotshell,MERCHANDISE,AMMUNITION,CCI/SPEER,13,0,0,24.99,15.94,207.22,0,,9M,,,,Desc 1,Desc 2,Desc 3,,
076683037459,1508-0168,CCI 3745 45 Auto Shotshell,MERCHANDISE,AMMUNITION,,3,0,0,32.99,19.79,59.37,0,,4,,,,Desc 1,Desc 2,Desc 3,,
029465060497,FEXM33C,FED XM33C 50BMG 660GR 10RND BX,MERCHANDISE,AMMUNITION,FEDERAL,8,0,0,59.99,30.2,241.6,0,XM33C,,,,,Desc 1,Desc 2,Desc 3,,
029465063405,0658-1766,Federal P2506TC1 Premium CF Rifle,MERCHANDISE,AMMUNITION,FEDERAL,3,0,0,38.99,28.26,84.78,0,,25-06 RE,,,,Desc 1,Desc 2,Desc 3,,
090255913408,H91340,HRNDY 40SW 165GR CRT DFNSE 20/200,MERCHANDISE,AMMUNITION,HORNADY,1,0,0,42.99,22.76,22.76,0,CRT,,,,,Desc 1,Desc 2,Desc 3,,
047700057804,1505-0684,Remington R4570G Centerfire Rifle,MERCHANDISE,AMMUNITION,REMINGTON,5,0,0,59.99,38.47,192.35,0,,45-70 GOV,,,,Desc 1,Desc 2,Desc 3,,
029465061159,0658-0613,Federal P460SA CF Pistol 460 S&W 300gr,MERCHANDISE,AMMUNITION,FEDERAL,1,0,0,69.99,52.74,52.74,0,,460 S&,,,,Desc 1,Desc 2,Desc 3,,
029465060435,0658-0420,Federal F460FS1 CF Pistol 460 S&W,MERCHANDISE,AMMUNITION,FEDERAL,2,0,0,43.95,27.53,55.06,0,,460 S&,,,,Desc 1,Desc 2,Desc 3,,
090255927900,0953-1126,Hornady 92790 Critical Defense Ammo,MERCHANDISE,AMMUNITION,HORNADY,1,0,0,39.99,24.52,24.52,0,,4,,,,Desc 1,Desc 2,Desc 3,,
054041600170,NOS60017,NOSLER 22-250 REM,MERCHANDISE,AMMUNITION,NOSLER,2,0,0,49.99,34,68,0,,,,,,Desc 1,Desc 2,Desc 3,,
029465098636,0658-1884,Federal F300WSMFS3 Fusion CF Rifle,MERCHANDISE,AMMUNITION,FEDERAL,2,0,0,44.95,27.59,55.18,0,,300 WS,,,,Desc 1,Desc 2,Desc 3,,
090255907001,0953-1127,Hornady 90700 Critical Defense Ammo,MERCHANDISE,AMMUNITION,HORNADY,2,0,0,35.99,21.59,43.18,0,,44 SP,,,,Desc 1,Desc 2,Desc 3,,
029465084417,0658-0383,Federal 7B Power Shok CF Rifle,MERCHANDISE,AMMUNITION,FEDERAL,1,0,0,41.95,27.64,27.64,0,,7MM MS,,,,Desc 1,Desc 2,Desc 3,,
747115010448,4103-0014,Weatherby H300180SP CF Rifle,MERCHANDISE,AMMUNITION,WEATHERBY,3,0,0,74.99,53.01,159.03,0,,300 WB,,,,Desc 1,Desc 2,Desc 3,,
029465063122,0658-1932,FEDERAL AMERICAN EAGLE 5.7X28MM 40GR,MERCHANDISE,AMMUNITION,FEDERAL,7,0,0,52.99,29.99,209.93,0,,,,,,Desc 1,Desc 2,Desc 3,,
029465098605,0658-1873,Federal F280FS1 Fusion CF Rifle,MERCHANDISE,AMMUNITION,FEDERAL,4,0,0,35.99,26.58,106.32,0,,280 RE,,,,Desc 1,Desc 2,Desc 3,,
741569060080,0455-0111,PMC 223A Bronze CF Rifle,MERCHANDISE,AMMUNITION,PMC,46,0,0,12.99,7.74,356.04,0,,223 RE,,,,Desc 1,Desc 2,Desc 3,,
029465058470,0658-2192,FEDERAL AE17WSMI AMERICAN EAGLE 17 20GR,MERCHANDISE,AMMUNITION,AMERICAN EAGLE,7,0,0,18.49,13.86,97.02,0,,,,,,Desc 1,Desc 2,Desc 3,,
047700169309,1505-0354,Remington L10MM6 UMC Pistol,MERCHANDISE,AMMUNITION,REMINGTON,5,0,0,34.99,22.49,112.45,0,,10M,,,,Desc 1,Desc 2,Desc 3,,
754908510108,1398-0122,Sellier & Bellot SB33081 Rifle Ammo,MERCHANDISE,AMMUNITION,SELLIER & BELLOT,3,0,0,23.99,14.39,43.17,0,,243 Wi,,,,Desc 1,Desc 2,Desc 3,,
076683035899,1508-1043,CCI 3589 Blazer 40 S&W ALLUMINIUM,MERCHANDISE,AMMUNITION,,5,0,0,23.99,14.17,70.85,0,,,,,,Desc 1,Desc 2,Desc 3,,
076683037381,1508-0161,CCI 3738 38/357 Mag Shotshell,MERCHANDISE,AMMUNITION,CCI/SPEER,6,0,0,21.99,12.83,76.98,0,,38/357M,,,,Desc 1,Desc 2,Desc 3,,
020892004467,0512-0748,Winchester AA289 AA Shotshell,MERCHANDISE,AMMUNITION,WINCHESTER,17,0,0,9.59,8.61,146.37,0,,28 G,,,,Desc 1,Desc 2,Desc 3,,
054041651059,0098-0407,Nosler 65105 Varmageddon Ammo,MERCHANDISE,AMMUNITION,NOSLER,2,0,0,34.99,25.73,51.46,0,,17 RE,,,,Desc 1,Desc 2,Desc 3,,
090255827330,H82733,HRNDY LVREVO 308MRLN EXPS 160GR 10RD,MERCHANDISE,AMMUNITION,HORNADY,8,0,0,37.99,22.5,180,0,,,,,,Desc 1,Desc 2,Desc 3,,
090255814477,0320405,HOR 25-06 90GR GMX FULBOR,MERCHANDISE,AMMUNITION,,4,0,0,29.99,20.05,80.2,0,,,,,,Desc 1,Desc 2,Desc 3,,
020892103573,B194122400,BAM CART 22LR 40GR LRN BPR,MERCHANDISE,AMMUNITION,BROWNING,1,0,1,47.99,28.79,28.79,0,,22LR,Shotgun,,,Desc 1,Desc 2,Desc 3,,
741569070027,PMC25A,PMC BRNZ 25ACP 50GR FMJ 50/1000,MERCHANDISE,AMMUNITION,PMC,2,0,0,31.99,18.89,37.78,0,,,,,,Desc 1,Desc 2,Desc 3,,
029465060374,0310512,FED 338FED 200GR SP POWER-SHOK,MERCHANDISE,AMMUNITION,FEDERAL,2,0,0,32.99,23.08,46.16,0,,,,,,Desc 1,Desc 2,Desc 3,,
029465064105,F338FMSR2,FDR FUSION MSR 338FED 185GR,MERCHANDISE,AMMUNITION,FEDERAL,3,0,0,34.99,24.42,73.26,0,,338 Federal,Shotgun,,,Desc 1,Desc 2,Desc 3,,
020892201972,WNQ4206BX,WIN USA 380ACP 95GR FMJ 50/500,MERCHANDISE,AMMUNITION,WINCHESTER,7,0,0,21.99,13.49,94.43,0,,,,,,Desc 1,Desc 2,Desc 3,,
076683037466,CCI3746,CCI 45LC #9 SHOTSHELL 10/200,MERCHANDISE,AMMUNITION,CCI/SPEER,6,0,0,19.99,12.34,74.04,0,,,,,,Desc 1,Desc 2,Desc 3,,
